날짜,공휴일,날씨,어른,청소년,어린이,외국인,단체,총입장객수,연,월,일,요일
2017-04-02,O,맑음,19107,423.0,2636,164,0,32457,2017,4,2,일
2017-04-03,X,맑음,1878,18.0,64,27,0,3032,2017,4,3,월
2017-04-04,X,구름 조금,2054,68.0,77,97,260,3576,2017,4,4,화
2017-04-05,X,눈/비,344,105.0,10,17,190,1067,2017,4,5,수
2017-04-06,X,흐림,587,85.0,30,14,138,1603,2017,4,6,목
2017-04-07,X,구름 조금,3419,821.0,148,111,998,6248,2017,4,7,금
2017-04-08,O,구름 조금,24756,638.0,3120,220,137,40887,2017,4,8,토
2017-04-09,O,구름 많음,24523,590.0,3383,283,0,39359,2017,4,9,일
2017-04-10,X,구름 조금,5106,27.0,160,38,105,7589,2017,4,10,월
2017-04-11,X,구름 조금,3867,16.0,118,63,558,7035,2017,4,11,화
2017-04-12,X,맑음,4113,36.0,166,112,676,7538,2017,4,12,수
2017-04-13,X,구름 많음,3631,197.0,289,54,1115,7727,2017,4,13,목
2017-04-14,X,눈/비,1079,691.0,41,30,945,3058,2017,4,14,금
2017-04-15,O,구름 조금,20770,365.0,2944,225,370,31747,2017,4,15,토
2017-04-16,O,구름 많음,23676,383.0,3354,347,37,37119,2017,4,16,일
2017-04-17,X,눈/비,270,910.0,243,21,1157,2046,2017,4,17,월
2017-04-18,X,눈/비,863,6.0,298,35,802,2864,2017,4,18,화
2017-04-19,X,구름 조금,3528,10045.0,1387,91,13390,17909,2017,4,19,수
2017-04-20,X,흐림,1165,8.0,455,59,1035,3430,2017,4,20,목
2017-04-21,X,구름 많음,2802,620.0,635,63,2355,7265,2017,4,21,금
2017-04-22,O,구름 조금,19141,292.0,2969,241,1361,30798,2017,4,22,토
2017-04-23,O,맑음,21854,269.0,2985,300,333,40116,2017,4,23,일
2017-04-24,X,구름 많음,3019,24.0,560,74,759,6026,2017,4,24,월
2017-04-25,X,흐림,1910,223.0,471,74,1924,5660,2017,4,25,화
2017-04-26,X,맑음,2730,61.0,666,16,2865,7375,2017,4,26,수
2017-04-27,X,구름 조금,2636,202.0,526,52,2709,7641,2017,4,27,목
2017-04-28,X,구름 조금,3033,1765.0,521,67,4238,9533,2017,4,28,금
2017-04-29,O,맑음,13782,483.0,2133,150,625,21481,2017,4,29,토
2017-04-30,O,구름 조금,17158,488.0,2469,410,230,26596,2017,4,30,일
2017-05-01,X,맑음,14566,2177.0,1370,359,2012,23136,2017,5,1,월
2017-05-02,X,맑음,4233,2547.0,4548,49,6650,13938,2017,5,2,화
2017-05-03,O,맑음,19887,1086.0,3455,153,354,30998,2017,5,3,수
2017-05-04,X,구름 많음,12233,870.0,2776,143,54,25285,2017,5,4,목
2017-05-05,O,구름 조금,25824,1222.0,0,616,170,46264,2017,5,5,금
2017-05-06,O,맑음,6183,411.0,965,434,102,9915,2017,5,6,토
2017-05-07,O,맑음,4818,318.0,588,269,41,7630,2017,5,7,일
2017-05-08,X,구름 많음,1396,1308.0,86,58,1379,3876,2017,5,8,월
2017-05-09,X,흐림,2216,223.0,248,56,0,3997,2017,5,9,화
2017-05-10,X,구름 많음,1556,612.0,79,22,1520,4585,2017,5,10,수
2017-05-11,X,구름 많음,1612,829.0,412,42,2595,5814,2017,5,11,목
2017-05-12,X,구름 많음,5050,6205.0,5363,58,16276,18841,2017,5,12,금
2017-05-13,O,눈/비,4416,163.0,604,49,405,7908,2017,5,13,토
2017-05-14,O,맑음,22675,467.0,2045,288,6666,31381,2017,5,14,일
2017-05-15,X,구름 많음,2135,1639.0,180,42,2437,6424,2017,5,15,월
2017-05-16,X,구름 많음,2016,176.0,430,59,1868,6234,2017,5,16,화
2017-05-17,X,구름 조금,2006,82.0,631,47,1998,6530,2017,5,17,수
2017-05-18,X,맑음,2197,1058.0,514,70,3607,8462,2017,5,18,목
2017-05-19,X,맑음,3016,3227.0,798,77,6145,12305,2017,5,19,금
2017-05-20,O,구름 조금,15055,399.0,1767,147,908,22972,2017,5,20,토
2017-05-21,O,맑음,16674,363.0,1944,284,307,24708,2017,5,21,일
2017-05-22,X,구름 조금,2440,5.0,124,47,527,4876,2017,5,22,월
2017-05-23,X,흐림,1756,206.0,279,44,1247,5384,2017,5,23,화
2017-05-24,X,구름 조금,2620,546.0,348,75,1522,6338,2017,5,24,수
2017-05-25,X,구름 많음,3001,167.0,318,78,1600,7842,2017,5,25,목
2017-05-26,X,맑음,4456,1900.0,513,109,4286,12687,2017,5,26,금
2017-05-27,O,맑음,23575,549.0,2478,398,1314,33795,2017,5,27,토
2017-05-28,O,맑음,25346,675.0,2585,519,4532,39195,2017,5,28,일
2017-05-29,X,맑음,3966,40.0,123,232,364,7267,2017,5,29,월
2017-05-30,X,구름 많음,4370,344.0,123,68,1444,8825,2017,5,30,화
2017-05-31,X,흐림,3145,418.0,72,199,885,6836,2017,5,31,수
2017-06-01,X,눈/비,3094,171.0,1586,92,2456,9190,2017,6,1,목
2017-06-02,X,구름 조금,4519,1968.0,352,140,3149,10915,2017,6,2,금
2017-06-03,O,맑음,20989,533.0,1921,310,472,33239,2017,6,3,토
2017-06-04,O,맑음,22617,699.0,2499,469,61,36290,2017,6,4,일
2017-06-05,X,구름 조금,11391,1663.0,1223,161,4173,18592,2017,6,5,월
2017-06-06,O,흐림,12888,582.0,1820,154,295,22602,2017,6,6,화
2017-06-07,X,흐림,623,344.0,11,28,393,1871,2017,6,7,수
2017-06-08,X,맑음,2597,17345.0,150,146,18420,23381,2017,6,8,목
2017-06-09,X,구름 많음,9728,963.0,2356,136,11161,15512,2017,6,9,금
2017-06-10,O,구름 많음,14602,378.0,1564,296,1493,21501,2017,6,10,토
2017-06-11,O,맑음,15379,331.0,1638,297,152,23498,2017,6,11,일
2017-06-12,X,구름 많음,1675,104.0,90,103,264,3589,2017,6,12,월
2017-06-13,X,눈/비,1347,10.0,47,84,678,3915,2017,6,13,화
2017-06-14,X,맑음,1235,320.0,98,64,1060,4146,2017,6,14,수
2017-06-15,X,맑음,3337,25.0,1348,83,4242,6991,2017,6,15,목
2017-06-16,X,구름 많음,1254,116.0,44,68,676,3307,2017,6,16,금
2017-06-17,O,맑음,6042,183.0,867,149,351,10224,2017,6,17,토
2017-06-18,O,구름 조금,5524,111.0,634,218,185,8647,2017,6,18,일
2017-06-19,X,구름 조금,961,33.0,69,29,96,2163,2017,6,19,월
2017-06-20,X,구름 많음,838,19.0,82,59,459,2530,2017,6,20,화
2017-06-21,X,구름 조금,799,37.0,82,54,246,2201,2017,6,21,수
2017-06-22,X,구름 조금,898,10705.0,47,85,10925,12935,2017,6,22,목
2017-06-23,X,구름 조금,836,16.0,54,71,275,2122,2017,6,23,금
2017-06-24,O,구름 많음,3640,83.0,492,125,63,6202,2017,6,24,토
2017-06-25,O,흐림,3786,63.0,460,145,56,6163,2017,6,25,일
2017-06-26,X,눈/비,572,6.0,31,24,0,1272,2017,6,26,월
2017-06-27,X,구름 많음,878,10.0,51,51,187,2243,2017,6,27,화
2017-06-28,X,구름 많음,807,16.0,39,70,132,2113,2017,6,28,수
2017-06-29,X,구름 많음,846,14.0,44,61,235,2120,2017,6,29,목
2017-06-30,X,구름 많음,840,26.0,136,72,316,2103,2017,6,30,금
2017-07-01,O,흐림,5112,85.0,531,113,60,7808,2017,7,1,토
2017-07-02,O,눈/비,649,12.0,64,63,0,1443,2017,7,2,일
2017-07-03,X,눈/비,289,4.0,20,15,0,807,2017,7,3,월
2017-07-04,X,구름 많음,559,27.0,305,74,362,1715,2017,7,4,화
2017-07-05,X,구름 많음,495,62.0,43,59,60,1349,2017,7,5,수
2017-07-06,X,구름 많음,425,167.0,19,58,141,1251,2017,7,6,목
2017-07-07,X,눈/비,275,8.0,47,21,30,870,2017,7,7,금
2017-07-08,O,흐림,832,25.0,98,77,30,1700,2017,7,8,토
2017-07-09,O,눈/비,1903,76.0,239,151,0,3440,2017,7,9,일
2017-07-10,X,눈/비,69,2.0,2,12,0,338,2017,7,10,월
2017-07-11,X,눈/비,473,46.0,72,51,91,1480,2017,7,11,화
2017-07-12,X,구름 조금,487,315.0,57,44,279,1597,2017,7,12,수
2017-07-13,X,구름 조금,466,27.0,43,57,0,1176,2017,7,13,목
2017-07-14,X,구름 많음,486,117.0,51,74,218,1349,2017,7,14,금
2017-07-15,O,눈/비,857,63.0,87,88,72,1935,2017,7,15,토
2017-07-16,O,흐림,2857,84.0,313,78,0,4589,2017,7,16,일
2017-07-17,X,눈/비,503,21.0,43,11,31,1188,2017,7,17,월
2017-07-18,X,구름 많음,586,50.0,56,68,74,1458,2017,7,18,화
2017-07-19,X,구름 많음,465,21.0,51,42,0,1180,2017,7,19,수
2017-07-20,X,구름 많음,333,30.0,32,81,0,931,2017,7,20,목
2017-07-21,X,구름 많음,370,191.0,34,62,177,1076,2017,7,21,금
2017-07-22,O,흐림,1238,53.0,146,154,33,2501,2017,7,22,토
2017-07-23,O,눈/비,319,12.0,26,20,36,696,2017,7,23,일
2017-07-24,X,눈/비,242,33.0,29,57,0,696,2017,7,24,월
2017-07-25,X,흐림,507,49.0,46,54,44,1318,2017,7,25,화
2017-07-26,X,구름 조금,540,83.0,78,100,0,1267,2017,7,26,수
2017-07-27,X,구름 많음,7696,121.0,2342,93,9074,10889,2017,7,27,목
2017-07-28,X,눈/비,332,11.0,60,47,0,772,2017,7,28,금
2017-07-29,O,흐림,3756,131.0,473,69,111,5834,2017,7,29,토
2017-07-30,O,흐림,3828,185.0,413,286,70,5761,2017,7,30,일
2017-07-31,X,눈/비,996,31.0,382,55,0,1771,2017,7,31,월
2017-08-01,X,구름 많음,2123,118.0,321,177,30,3932,2017,8,1,화
2017-08-02,X,눈/비,1069,92.0,159,57,0,1976,2017,8,2,수
2017-08-03,X,구름 조금,1053,82.0,166,181,0,1923,2017,8,3,목
2017-08-04,X,구름 조금,1298,126.0,214,52,46,2164,2017,8,4,금
2017-08-05,O,구름 많음,1602,83.0,194,135,30,2745,2017,8,5,토
2017-08-06,O,눈/비,1250,87.0,169,105,0,2350,2017,8,6,일
2017-08-07,X,눈/비,565,56.0,104,62,0,1236,2017,8,7,월
2017-08-08,X,구름 많음,659,72.0,136,117,0,1504,2017,8,8,화
2017-08-09,X,구름 많음,721,120.0,150,89,0,1601,2017,8,9,수
2017-08-10,X,눈/비,350,61.0,70,53,31,943,2017,8,10,목
2017-08-11,X,구름 많음,959,74.0,201,41,104,1903,2017,8,11,금
2017-08-12,O,구름 조금,4082,118.0,549,92,39,6396,2017,8,12,토
2017-08-13,O,구름 많음,6680,227.0,884,345,45,10371,2017,8,13,일
2017-08-14,X,흐림,827,47.0,259,105,44,1847,2017,8,14,월
2017-08-15,O,눈/비,329,24.0,56,15,0,831,2017,8,15,화
2017-08-16,X,흐림,1039,33.0,232,46,0,2011,2017,8,16,수
2017-08-17,X,눈/비,814,25.0,172,67,0,1883,2017,8,17,목
2017-08-18,X,눈/비,1390,39.0,272,86,46,2773,2017,8,18,금
2017-08-19,O,흐림,6850,170.0,940,168,69,10675,2017,8,19,토
2017-08-20,O,눈/비,811,27.0,110,51,0,1453,2017,8,20,일
2017-08-21,X,눈/비,540,3111.0,112,52,3152,4392,2017,8,21,월
2017-08-22,X,구름 많음,1196,25.0,213,78,0,2413,2017,8,22,화
2017-08-23,X,눈/비,289,7.0,49,24,0,724,2017,8,23,수
2017-08-24,X,눈/비,134,6.0,22,23,0,572,2017,8,24,목
2017-08-25,X,구름 조금,1169,74.0,108,33,30,2284,2017,8,25,금
2017-08-26,O,구름 조금,9721,179.0,1183,139,75,14474,2017,8,26,토
2017-08-27,O,흐림,11289,231.0,1424,194,34,16798,2017,8,27,일
2017-08-28,X,눈/비,697,9.0,54,36,0,1469,2017,8,28,월
2017-08-29,X,구름 많음,1916,14.0,86,60,96,3436,2017,8,29,화
2017-08-30,X,구름 많음,1603,28.0,46,16,74,2860,2017,8,30,수
2017-08-31,X,맑음,1722,75.0,75,40,198,3217,2017,8,31,목
2017-09-01,X,구름 조금,1794,178.0,167,43,137,3429,2017,9,1,금
2017-09-02,O,맑음,15241,238.0,1896,127,34,23313,2017,9,2,토
2017-09-03,O,구름 조금,15418,260.0,1873,180,60,23991,2017,9,3,일
2017-09-04,X,구름 조금,1641,22.0,77,127,35,2911,2017,9,4,월
2017-09-05,X,흐림,884,20.0,104,70,189,2184,2017,9,5,화
2017-09-06,X,흐림,369,490.0,18,14,535,1803,2017,9,6,수
2017-09-07,X,구름 많음,1946,14.0,557,53,640,4453,2017,9,7,목
2017-09-08,X,맑음,1440,930.0,267,13,1521,4176,2017,9,8,금
2017-09-09,O,구름 조금,10366,208.0,1460,126,296,17303,2017,9,9,토
2017-09-10,O,흐림,10648,211.0,1535,211,46,16529,2017,9,10,일
2017-09-11,X,흐림,7259,158.0,2870,27,9598,10956,2017,9,11,월
2017-09-12,X,맑음,1429,470.0,33,43,876,3800,2017,9,12,화
2017-09-13,X,맑음,1652,68.0,47,20,573,3875,2017,9,13,수
2017-09-14,X,맑음,1420,23.0,86,29,322,3009,2017,9,14,목
2017-09-15,X,구름 많음,1923,902.0,147,30,1912,5715,2017,9,15,금
2017-09-16,O,구름 많음,13696,308.0,2126,153,426,20881,2017,9,16,토
2017-09-17,O,구름 조금,14355,189.0,1909,221,36,21699,2017,9,17,일
2017-09-18,X,구름 조금,1999,24.0,306,17,420,4196,2017,9,18,월
2017-09-19,X,눈/비,579,3.0,174,32,593,2313,2017,9,19,화
2017-09-20,X,맑음,1564,2133.0,414,19,2802,6149,2017,9,20,수
2017-09-21,X,맑음,1603,19.0,298,44,1107,4800,2017,9,21,목
2017-09-22,X,구름 조금,1815,1175.0,334,53,3438,7283,2017,9,22,금
2017-09-23,O,구름 조금,9117,209.0,2043,92,4272,17515,2017,9,23,토
2017-09-24,O,구름 조금,8989,215.0,1359,127,725,14520,2017,9,24,일
2017-09-25,X,구름 조금,1223,18.0,189,13,162,2522,2017,9,25,월
2017-09-26,X,구름 많음,1029,83.0,401,32,992,3580,2017,9,26,화
2017-09-27,X,463,553,172.0,590,14,976,2494,2017,9,27,수
2017-09-28,X,463,1332,71.0,686,6,1196,4031,2017,9,28,목
2017-09-29,X,463,1278,1624.0,1858,57,3501,6538,2017,9,29,금
2017-09-30,O,463,8387,316.0,1132,64,103,12712,2017,9,30,토
2017-10-01,O,463,3543,144.0,618,107,0,6413,2017,10,1,일
2017-10-02,X,463,14218,355.0,1870,186,0,21387,2017,10,2,월
2017-10-03,O,463,10949,360.0,1461,438,0,16489,2017,10,3,화
2017-10-04,O,463,13288,496.0,1548,1174,0,19220,2017,10,4,수
2017-10-05,O,463,21322,680.0,2912,701,0,32576,2017,10,5,목
2017-10-06,O,463,12842,389.0,1904,359,0,20948,2017,10,6,금
2017-10-07,O,463,19513,663.0,2842,359,0,32091,2017,10,7,토
2017-10-08,O,구름 많음,18372,553.0,2767,218,83,29251,2017,10,8,일
2017-10-09,O,구름 조금,13211,479.0,1829,71,359,21174,2017,10,9,월
2017-10-10,X,흐림,806,8.0,200,13,203,2304,2017,10,10,화
2017-10-11,X,구름 많음,305,573.0,421,19,1147,2107,2017,10,11,수
2017-10-12,X,흐림,734,637.0,614,111,1882,3902,2017,10,12,목
2017-10-13,X,맑음,1401,1243.0,400,40,2619,6403,2017,10,13,금
2017-10-14,O,구름 조금,10745,358.0,1625,129,1633,16985,2017,10,14,토
2017-10-15,O,구름 조금,12955,298.0,1756,43,213,19657,2017,10,15,일
2017-10-16,X,구름 많음,4199,14.0,593,48,3917,6706,2017,10,16,월
2017-10-17,X,구름 조금,2399,463.0,1560,47,9928,14032,2017,10,17,화
2017-10-18,X,흐림,1317,353.0,772,47,1556,5007,2017,10,18,수
2017-10-19,X,구름 조금,1959,448.0,464,48,1926,5915,2017,10,19,목
2017-10-20,X,맑음,3082,2531.0,417,46,5156,10375,2017,10,20,금
2017-10-21,O,맑음,14199,335.0,2062,176,1792,22658,2017,10,21,토
2017-10-22,O,구름 많음,17176,663.0,3131,129,3709,25073,2017,10,22,일
2017-10-23,X,구름 조금,2042,53.0,278,17,954,4545,2017,10,23,월
2017-10-24,X,구름 조금,11388,3413.0,2017,36,15364,19454,2017,10,24,화
2017-10-25,X,맑음,1745,164.0,451,70,898,4625,2017,10,25,수
2017-10-26,X,구름 많음,1624,525.0,438,37,1388,5123,2017,10,26,목
2017-10-27,X,맑음,2734,1901.0,504,76,3594,8431,2017,10,27,금
2017-10-28,O,맑음,16172,658.0,2588,158,5114,26879,2017,10,28,토
2017-10-29,O,맑음,12844,440.0,1766,208,285,19514,2017,10,29,일
2017-10-30,X,맑음,1210,592.0,184,43,686,3338,2017,10,30,월
2017-10-31,X,구름 조금,1332,117.0,2624,57,2724,5768,2017,10,31,화
2017-11-01,X,구름 많음,1546,100.0,136,61,298,3363,2017,11,1,수
2017-11-02,X,눈/비,1046,85.0,39,68,294,2669,2017,11,2,목
2017-11-03,X,구름 조금,1776,252.0,262,52,1009,3156,2017,11,3,금
2017-11-04,O,맑음,7476,226.0,963,91,216,12087,2017,11,4,토
2017-11-05,O,구름 많음,8543,220.0,1263,104,69,12762,2017,11,5,일
2017-11-06,X,구름 많음,1504,13.0,63,44,68,3340,2017,11,6,월
2017-11-07,X,구름 많음,1319,397.0,141,53,846,3494,2017,11,7,화
2017-11-08,X,맑음,1010,245.0,17,50,424,2653,2017,11,8,수
2017-11-09,X,맑음,1274,10.0,144,29,301,3089,2017,11,9,목
2017-11-10,X,눈/비,941,88.0,77,36,695,2353,2017,11,10,금
2017-11-11,O,맑음,5225,191.0,675,68,1026,8008,2017,11,11,토
2017-11-12,O,구름 조금,6232,175.0,721,32,520,9312,2017,11,12,일
2017-11-13,X,흐림,561,13.0,32,7,35,1611,2017,11,13,월
2017-11-14,X,구름 조금,758,1.0,94,25,256,2003,2017,11,14,화
2017-11-15,X,구름 조금,437,32.0,16,27,169,1404,2017,11,15,수
2017-11-16,X,구름 조금,372,72.0,32,30,0,1245,2017,11,16,목
2017-11-17,X,눈/비,271,409.0,12,29,471,1388,2017,11,17,금
2017-11-18,O,맑음,1374,85.0,178,57,352,2759,2017,11,18,토
2017-11-19,O,맑음,950,51.0,81,59,30,1918,2017,11,19,일
2017-11-20,X,구름 많음,232,20.0,8,26,0,857,2017,11,20,월
2017-11-21,X,맑음,238,407.0,64,14,430,1581,2017,11,21,화
2017-11-22,X,맑음,315,42.0,98,30,165,1041,2017,11,22,수
2017-11-23,X,흐림,806,31.0,478,24,1101,1927,2017,11,23,목
2017-11-24,X,구름 많음,175,21.0,7,13,0,747,2017,11,24,금
2017-11-25,O,눈/비,428,9.0,31,12,157,1384,2017,11,25,토
2017-11-26,O,구름 조금,1368,56.0,176,56,0,2487,2017,11,26,일
2017-11-27,X,463,313,12.0,17,2,46,1072,2017,11,27,월
2017-11-28,X,463,267,14.0,21,48,0,1139,2017,11,28,화
2017-11-29,X,463,163,18.0,10,18,0,795,2017,11,29,수
2017-11-30,X,맑음,158,10472.0,8,20,42,11318,2017,11,30,목
2017-12-01,X,구름 많음,170,33.0,10,21,0,718,2017,12,1,금
2017-12-02,O,구름 많음,1010,45.0,78,18,0,2168,2017,12,2,토
2017-12-03,O,흐림,986,33.0,101,21,0,1991,2017,12,3,일
2017-12-04,X,구름 조금,136,17.0,8,11,0,719,2017,12,4,월
2017-12-05,X,흐림,164,1.0,4,5,71,630,2017,12,5,화
2017-12-06,X,흐림,97,10.0,2,15,0,721,2017,12,6,수
2017-12-07,X,구름 조금,144,50.0,5,13,33,911,2017,12,7,목
2017-12-08,X,맑음,128,17.0,4,15,0,643,2017,12,8,금
2017-12-09,O,구름 많음,678,30.0,68,20,32,1792,2017,12,9,토
2017-12-10,O,눈/비,356,24.0,39,12,0,1024,2017,12,10,일
2017-12-11,X,463,56,2.0,13,12,0,479,2017,12,11,월
2017-12-12,X,맑음,45,37.0,3,4,33,324,2017,12,12,화
2017-12-13,X,맑음,75,11.0,0,20,0,462,2017,12,13,수
2017-12-14,X,구름 많음,59,15.0,245,9,241,761,2017,12,14,목
2017-12-15,X,흐림,99,35.0,11,12,0,627,2017,12,15,금
2017-12-16,O,구름 조금,306,20.0,45,11,0,1206,2017,12,16,토
2017-12-17,O,구름 조금,379,20.0,43,28,38,996,2017,12,17,일
2017-12-18,X,구름 많음,89,13.0,1,2,0,420,2017,12,18,월
2017-12-19,X,맑음,61,102.0,2,22,90,657,2017,12,19,화
2017-12-20,O,눈/비,202,2035.0,272,1,2454,2985,2017,12,20,수
2017-12-21,X,맑음,103,18.0,11,12,0,653,2017,12,21,목
2017-12-22,X,구름 많음,186,11.0,12,3,1,804,2017,12,22,금
2017-12-23,O,흐림,771,66.0,75,41,43,1910,2017,12,23,토
2017-12-24,O,눈/비,114,14.0,16,7,0,403,2017,12,24,일
2017-12-25,O,맑음,1195,188.0,119,29,3,2028,2017,12,25,월
2017-12-26,X,맑음,178,7.0,15,24,0,772,2017,12,26,화
2017-12-27,X,맑음,112,10.0,7,9,0,488,2017,12,27,수
2017-12-28,X,흐림,174,6.0,17,15,0,778,2017,12,28,목
2017-12-29,X,구름 많음,273,30.0,42,39,0,853,2017,12,29,금
2017-12-30,O,눈/비,574,46.0,89,38,0,1520,2017,12,30,토
2017-12-31,O,맑음,1069,57.0,148,50,0,1868,2017,12,31,일
2018-01-01,O,맑음,1380,99.0,209,40,0,2316,2018,1,1,월
2018-01-02,X,구름 조금,344,15.0,44,22,119,988,2018,1,2,화
2018-01-03,X,구름 조금,153,22.0,17,4,0,694,2018,1,3,수
2018-01-04,X,흐림,134,9.0,22,14,1,671,2018,1,4,목
2018-01-05,X,구름 조금,146,12.0,31,8,0,758,2018,1,5,금
2018-01-06,O,맑음,836,32.0,100,25,0,1935,2018,1,6,토
2018-01-07,O,흐림,749,61.0,112,20,0,1881,2018,1,7,일
2018-01-08,X,흐림,150,13.0,30,13,0,634,2018,1,8,월
2018-01-09,X,구름 많음,94,6.0,15,13,0,523,2018,1,9,화
2018-01-10,X,구름 조금,56,7.0,7,6,0,382,2018,1,10,수
2018-01-11,X,맑음,34,8.0,1,0,0,312,2018,1,11,목
2018-01-12,X,맑음,45,5.0,2,15,0,228,2018,1,12,금
2018-01-13,O,맑음,297,18.0,35,3,0,1015,2018,1,13,토
2018-01-14,O,구름 많음,713,32.0,94,2,0,1654,2018,1,14,일
2018-01-15,X,구름 조금,172,31.0,22,14,0,645,2018,1,15,월
2018-01-16,X,눈/비,115,15.0,20,8,0,699,2018,1,16,화
2018-01-17,X,구름 조금,156,23.0,17,15,0,631,2018,1,17,수
2018-01-18,X,구름 많음,311,440.0,238,1,776,1503,2018,1,18,목
2018-01-19,X,맑음,257,28.0,49,17,0,918,2018,1,19,금
2018-01-20,O,구름 조금,941,72.0,125,3,30,2083,2018,1,20,토
2018-01-21,O,구름 많음,1015,61.0,158,18,0,2123,2018,1,21,일
2018-01-22,X,눈/비,210,34.0,67,6,0,852,2018,1,22,월
2018-01-23,X,맑음,48,9.0,10,7,0,363,2018,1,23,화
2018-01-24,X,맑음,16,1.0,1,0,0,128,2018,1,24,수
2018-01-25,X,맑음,23,0.0,0,1,0,162,2018,1,25,목
2018-01-26,X,맑음,31,13.0,6,0,0,222,2018,1,26,금
2018-01-27,O,구름 조금,202,30.0,15,11,0,655,2018,1,27,토
2018-01-28,O,구름 조금,371,31.0,55,15,0,962,2018,1,28,일
2018-01-29,X,맑음,74,7.0,6,6,0,409,2018,1,29,월
2018-01-30,X,구름 많음,92,9100.0,11,2,9097,9660,2018,1,30,화
2018-01-31,X,구름 많음,131,11.0,9,12,0,585,2018,1,31,수
2018-02-01,X,맑음,157,19.0,18,5,0,679,2018,2,1,목
2018-02-02,X,구름 많음,127,14.0,11,11,0,704,2018,2,2,금
2018-02-03,O,구름 조금,340,27.0,48,10,0,1049,2018,2,3,토
2018-02-04,O,맑음,238,15.0,28,1,1,790,2018,2,4,일
2018-02-05,X,맑음,59,5.0,2,14,0,348,2018,2,5,월
2018-02-06,X,구름 조금,55,2.0,3,13,0,369,2018,2,6,화
2018-02-07,X,구름 많음,58,14.0,6,4,0,418,2018,2,7,수
2018-02-08,X,맑음,131,25.0,21,2,1,724,2018,2,8,목
2018-02-09,X,463,141,18.0,13,3,0,657,2018,2,9,금
2018-02-10,O,463,756,40.0,111,17,0,1861,2018,2,10,토
2018-02-11,O,눈/비,446,29.0,69,6,4,1159,2018,2,11,일
2018-02-12,X,구름 많음,84,20.0,16,18,0,499,2018,2,12,월
2018-02-13,X,맑음,166,19.0,10,19,0,725,2018,2,13,화
2018-02-14,X,463,279,43.0,32,19,0,810,2018,2,14,수
2018-02-15,O,구름 조금,1023,37.0,133,64,0,1765,2018,2,15,목
2018-02-16,O,맑음,2013,71.0,247,246,0,3007,2018,2,16,금
2018-02-17,O,맑음,2229,101.0,287,71,0,3590,2018,2,17,토
2018-02-18,O,구름 많음,1822,70.0,219,88,0,3370,2018,2,18,일
2018-02-19,X,구름 많음,620,51.0,96,29,0,1558,2018,2,19,월
2018-02-20,X,구름 조금,420,60.0,81,6,0,1243,2018,2,20,화
2018-02-21,X,구름 조금,362,41.0,62,3,0,1169,2018,2,21,수
2018-02-22,X,구름 많음,424,58.0,80,17,0,1348,2018,2,22,목
2018-02-23,X,구름 조금,352,53.0,85,9,0,1079,2018,2,23,금
2018-02-24,O,구름 많음,1810,65.0,250,33,36,3362,2018,2,24,토
2018-02-25,O,맑음,3856,123.0,538,34,0,6139,2018,2,25,일
2018-02-26,X,구름 조금,1081,97.0,239,17,0,2252,2018,2,26,월
2018-02-27,X,흐림,543,89.0,137,11,0,1517,2018,2,27,화
2018-02-28,X,눈/비,123,8.0,37,6,0,626,2018,2,28,수
2018-03-01,O,맑음,1948,112.0,260,24,75,3290,2018,3,1,목
2018-03-02,X,맑음,649,8.0,55,25,0,1500,2018,3,2,금
2018-03-03,O,구름 많음,9307,224.0,1180,58,30,14540,2018,3,3,토
2018-03-04,O,흐림,1926,78.0,264,52,0,3619,2018,3,4,일
2018-03-05,X,구름 조금,536,2.0,8,2,0,1049,2018,3,5,월
2018-03-06,X,구름 조금,722,5.0,12,27,0,1751,2018,3,6,화
2018-03-07,X,구름 많음,564,4.0,15,20,0,1434,2018,3,7,수
2018-03-08,X,흐림,135,2.0,2,8,0,604,2018,3,8,목
2018-03-09,X,구름 조금,472,5.0,18,31,30,1366,2018,3,9,금
2018-03-10,O,구름 조금,6454,137.0,922,79,0,10723,2018,3,10,토
2018-03-11,O,구름 조금,9619,231.0,1385,13,0,14512,2018,3,11,일
2018-03-12,X,맑음,805,4.0,9,32,0,1555,2018,3,12,월
2018-03-13,X,구름 조금,845,5.0,39,39,34,1819,2018,3,13,화
2018-03-14,X,구름 조금,1775,43.0,54,22,30,3032,2018,3,14,수
2018-03-15,X,눈/비,76,0.0,6,3,0,390,2018,3,15,목
2018-03-16,X,맑음,1073,13.0,32,42,0,2101,2018,3,16,금
2018-03-17,O,구름 많음,14635,256.0,2153,44,87,21711,2018,3,17,토
2018-03-18,O,흐림,6882,192.0,1182,67,0,11340,2018,3,18,일
2018-03-19,X,구름 조금,282,1.0,12,9,0,785,2018,3,19,월
2018-03-20,X,구름 많음,346,9.0,22,30,0,1228,2018,3,20,화
2018-03-21,X,눈/비,353,828.0,492,4,0,2184,2018,3,21,수
2018-03-22,X,맑음,580,13.0,10,44,41,1559,2018,3,22,목
2018-03-23,X,구름 조금,901,49.0,52,18,68,1922,2018,3,23,금
2018-03-24,O,구름 조금,5428,174.0,762,59,94,8418,2018,3,24,토
2018-03-25,O,맑음,4723,216.0,637,114,0,7334,2018,3,25,일
2018-03-26,X,맑음,576,15.0,30,26,0,1227,2018,3,26,월
2018-03-27,X,구름 조금,497,21.0,42,26,0,1297,2018,3,27,화
