,날짜,요일,공휴일,날씨,어른,청소년,어린이,외국인,단체,총입장객수,연,월,일,매출액
310,2016-11-06,일,O,구름 많음,12529,353.0,1608,117,118,19529,2016,11,6,144900000
311,2016-11-07,월,X,흐림,4341,11.0,107,42,3140,5735,2016,11,7,44590000
312,2016-11-08,화,X,맑음,787,260.0,23,33,325,2570,2016,11,8,10700000
313,2016-11-09,수,X,맑음,937,36.0,290,21,741,2630,2016,11,9,12630000
314,2016-11-10,목,X,흐림,567,35.0,18,28,134,1928,2016,11,10,6200000
315,2016-11-11,금,X,구름 조금,1414,690.0,80,118,876,3662,2016,11,11,21840000
316,2016-11-12,토,O,흐림,9149,228.0,1106,85,1271,13925,2016,11,12,104830000
317,2016-11-13,일,O,구름 많음,8971,361.0,1073,164,583,13407,2016,11,13,104050000
318,2016-11-14,월,X,눈/비,487,411.0,26,15,411,1819,2016,11,14,9240000
319,2016-11-15,화,X,맑음,836,17.0,66,24,243,2205,2016,11,15,9190000
320,2016-11-16,수,X,구름 조금,803,46.0,31,39,108,2019,2016,11,16,8800000
321,2016-11-17,목,X,,1572,215.0,264,43,77,3480,2016,11,17,20510000
322,2016-11-18,금,X,,989,82.0,265,12,315,2356,2016,11,18,13360000
323,2016-11-19,토,O,,6203,139.0,726,116,179,9936,2016,11,19,70680000
324,2016-11-20,일,O,,9684,10262.0,1155,86,10030,24388,2016,11,20,211010000
325,2016-11-21,월,X,구름 많음,1012,33.0,47,22,30,2231,2016,11,21,10920000
326,2016-11-22,화,X,구름 조금,387,19.0,14,4,30,1433,2016,11,22,4200000
327,2016-11-23,수,X,구름 조금,253,8.0,4,16,0,1021,2016,11,23,2650000
328,2016-11-24,목,X,맑음,161,14.0,1,11,0,881,2016,11,24,1760000
329,2016-11-25,금,X,구름 조금,362,606.0,17,20,606,1817,2016,11,25,9850000
330,2016-11-26,토,O,눈/비,896,46.0,110,29,191,2325,2016,11,26,10520000
331,2016-11-27,일,O,구름 조금,1917,88.0,291,53,78,3815,2016,11,27,22960000
332,2016-11-28,월,X,맑음,382,43.0,26,12,0,1180,2016,11,28,4510000
333,2016-11-29,화,X,맑음,348,25.0,10,30,0,1237,2016,11,29,3830000
334,2016-11-30,수,X,흐림,245,48.0,9,17,31,978,2016,11,30,3020000
335,2016-12-01,목,X,맑음,476,57.0,121,18,0,1483,2016,12,1,6540000
336,2016-12-02,금,X,맑음,368,22.0,15,41,0,1224,2016,12,2,4050000
337,2016-12-03,토,O,구름 조금,3330,88.0,332,58,33,5705,2016,12,3,37500000
338,2016-12-04,일,O,흐림,2376,94.0,278,39,0,4360,2016,12,4,27480000
339,2016-12-05,월,X,구름 많음,235,35.0,13,12,0,952,2016,12,5,2830000
340,2016-12-06,화,X,맑음,172,64.0,13,26,30,997,2016,12,6,2490000
341,2016-12-07,수,X,구름 조금,230,240.0,7,2,224,1314,2016,12,7,4770000
342,2016-12-08,목,X,흐림,219,39.0,11,18,0,1090,2016,12,8,2690000
343,2016-12-09,금,X,맑음,230,227.0,7,10,188,1245,2016,12,9,4640000
344,2016-12-10,토,O,맑음,1162,57.0,104,50,0,2386,2016,12,10,13230000
345,2016-12-11,일,O,맑음,1605,63.0,209,50,0,3222,2016,12,11,18770000
346,2016-12-12,월,X,구름 많음,331,28.0,25,40,0,1043,2016,12,12,3840000
347,2016-12-13,화,X,,301,40.0,8,30,0,1312,2016,12,13,3490000
348,2016-12-14,수,X,,208,15.0,28,13,137,930,2016,12,14,2510000
349,2016-12-15,목,X,,101,18.0,4,13,0,698,2016,12,15,1230000
350,2016-12-16,금,X,구름 조금,129,14.0,12,9,0,565,2016,12,16,1550000
351,2016-12-17,토,O,구름 많음,1087,74.0,140,24,80,2403,2016,12,17,13010000
352,2017-03-28,화,X,구름 많음,0,0.0,0,0,0,2,2017,3,28,0
353,2017-03-29,수,X,구름 조금,0,0.0,0,0,0,7,2017,3,29,0
354,2017-03-30,목,X,구름 조금,1187,13.0,102,96,115,2369,2017,3,30,13020000
355,2017-03-31,금,X,눈/비,386,328.0,13,41,270,1299,2017,3,31,7270000
356,2017-04-01,토,O,눈/비,11155,204.0,1455,100,30,17070,2017,4,1,133170000
357,2017-04-02,일,O,맑음,19107,423.0,2636,164,0,32457,2017,4,2,221660000
358,2017-04-03,월,X,맑음,1878,18.0,64,27,0,3032,2017,4,3,19600000
359,2017-04-04,화,X,구름 조금,2054,68.0,77,97,260,3576,2017,4,4,21990000
360,2017-04-05,수,X,눈/비,344,105.0,10,17,190,1067,2017,4,5,4590000
361,2017-04-06,목,X,흐림,587,85.0,30,14,138,1603,2017,4,6,7020000
362,2017-04-07,금,X,구름 조금,3419,821.0,148,111,998,6248,2017,4,7,43880000
363,2017-04-08,토,O,구름 조금,24756,638.0,3120,220,137,40887,2017,4,8,285140000
364,2017-04-09,일,O,구름 많음,24523,590.0,3383,283,0,39359,2017,4,9,284960000
365,2017-04-10,월,X,구름 조금,5106,27.0,160,38,105,7589,2017,4,10,52930000
366,2017-04-11,화,X,구름 조금,3867,16.0,118,63,558,7035,2017,4,11,40010000
367,2017-04-12,수,X,맑음,4113,36.0,166,112,676,7538,2017,4,12,43150000
368,2017-04-13,목,X,구름 많음,3631,197.0,289,54,1115,7727,2017,4,13,41170000
369,2017-04-14,금,X,눈/비,1079,691.0,41,30,945,3058,2017,4,14,18110000
370,2017-04-15,토,O,구름 조금,20770,365.0,2944,225,370,31747,2017,4,15,240790000
371,2017-04-16,일,O,구름 많음,23676,383.0,3354,347,37,37119,2017,4,16,274130000
372,2017-04-17,월,X,눈/비,270,910.0,243,21,1157,2046,2017,4,17,14230000
373,2017-04-18,화,X,눈/비,863,6.0,298,35,802,2864,2017,4,18,11670000
374,2017-04-19,수,X,구름 조금,3528,10045.0,1387,91,13390,17909,2017,4,19,149600000
375,2017-04-20,목,X,흐림,1165,8.0,455,59,1035,3430,2017,4,20,16280000
376,2017-04-21,금,X,구름 많음,2802,620.0,635,63,2355,7265,2017,4,21,40570000
377,2017-04-22,토,O,구름 조금,19141,292.0,2969,241,1361,30798,2017,4,22,224020000
378,2017-04-23,일,O,맑음,21854,269.0,2985,300,333,40116,2017,4,23,251080000
379,2017-04-24,월,X,구름 많음,3019,24.0,560,74,759,6026,2017,4,24,36030000
380,2017-04-25,화,X,흐림,1910,223.0,471,74,1924,5660,2017,4,25,26040000
381,2017-04-26,수,X,맑음,2730,61.0,666,16,2865,7375,2017,4,26,34570000
382,2017-04-27,목,X,구름 조금,2636,202.0,526,52,2709,7641,2017,4,27,33640000
383,2017-04-28,금,X,구름 조금,3033,1765.0,521,67,4238,9533,2017,4,28,53190000
384,2017-04-29,토,O,맑음,13782,483.0,2133,150,625,21481,2017,4,29,163980000
385,2017-04-30,일,O,구름 조금,17158,488.0,2469,410,230,26596,2017,4,30,201150000
386,2017-05-01,월,X,맑음,14566,2177.0,1370,359,2012,23136,2017,5,1,181130000
387,2017-05-02,화,X,맑음,4233,2547.0,4548,49,6650,13938,2017,5,2,113280000
388,2017-05-03,수,O,맑음,19887,1086.0,3455,153,354,30998,2017,5,3,244280000
389,2017-05-04,목,X,구름 많음,12233,870.0,2776,143,54,25285,2017,5,4,158790000
390,2017-05-05,금,O,구름 조금,25824,1222.0,0,616,170,46264,2017,5,5,270460000
391,2017-05-06,토,O,맑음,6183,411.0,965,434,102,9915,2017,5,6,75590000
392,2017-05-07,일,O,맑음,4818,318.0,588,269,41,7630,2017,5,7,57240000
393,2017-05-08,월,X,구름 많음,1396,1308.0,86,58,1379,3876,2017,5,8,27900000
394,2017-05-09,화,X,흐림,2216,223.0,248,56,0,3997,2017,5,9,26870000
395,2017-05-10,수,X,구름 많음,1556,612.0,79,22,1520,4585,2017,5,10,22470000
396,2017-05-11,목,X,구름 많음,1612,829.0,412,42,2595,5814,2017,5,11,28530000
397,2017-05-12,금,X,구름 많음,5050,6205.0,5363,58,16276,18841,2017,5,12,166180000
398,2017-05-13,토,O,눈/비,4416,163.0,604,49,405,7908,2017,5,13,51830000
399,2017-05-14,일,O,맑음,22675,467.0,2045,288,6666,31381,2017,5,14,251870000
400,2017-05-15,월,X,구름 많음,2135,1639.0,180,42,2437,6424,2017,5,15,39540000
401,2017-05-16,화,X,구름 많음,2016,176.0,430,59,1868,6234,2017,5,16,26220000
402,2017-05-17,수,X,구름 조금,2006,82.0,631,47,1998,6530,2017,5,17,27190000
403,2017-05-18,목,X,맑음,2197,1058.0,514,70,3607,8462,2017,5,18,37690000
404,2017-05-19,금,X,맑음,3016,3227.0,798,77,6145,12305,2017,5,19,70410000
405,2017-05-20,토,O,구름 조금,15055,399.0,1767,147,908,22972,2017,5,20,172210000
406,2017-05-21,일,O,맑음,16674,363.0,1944,284,307,24708,2017,5,21,189810000
407,2017-05-22,월,X,구름 조금,2440,5.0,124,47,527,4876,2017,5,22,25690000
408,2017-05-23,화,X,흐림,1756,206.0,279,44,1247,5384,2017,5,23,22410000
409,2017-05-24,수,X,구름 조금,2620,546.0,348,75,1522,6338,2017,5,24,35140000
410,2017-05-25,목,X,구름 많음,3001,167.0,318,78,1600,7842,2017,5,25,34860000
411,2017-05-26,금,X,맑음,4456,1900.0,513,109,4286,12687,2017,5,26,68690000
412,2017-05-27,토,O,맑음,23575,549.0,2478,398,1314,33795,2017,5,27,266020000
413,2017-05-28,일,O,맑음,25346,675.0,2585,519,4532,39195,2017,5,28,286060000
414,2017-05-29,월,X,맑음,3966,40.0,123,232,364,7267,2017,5,29,41290000
415,2017-05-30,화,X,구름 많음,4370,344.0,123,68,1444,8825,2017,5,30,48370000
416,2017-05-31,수,X,흐림,3145,418.0,72,199,885,6836,2017,5,31,36350000
417,2017-06-01,목,X,눈/비,3094,171.0,1586,92,2456,9190,2017,6,1,48510000
418,2017-06-02,금,X,구름 조금,4519,1968.0,352,140,3149,10915,2017,6,2,68390000
419,2017-06-03,토,O,맑음,20989,533.0,1921,310,472,33239,2017,6,3,234430000
420,2017-06-04,일,O,맑음,22617,699.0,2499,469,61,36290,2017,6,4,258150000
421,2017-06-05,월,X,구름 조금,11391,1663.0,1223,161,4173,18592,2017,6,5,142770000
422,2017-06-06,화,O,흐림,12888,582.0,1820,154,295,22602,2017,6,6,152900000
423,2017-06-07,수,X,흐림,623,344.0,11,28,393,1871,2017,6,7,9780000
424,2017-06-08,목,X,맑음,2597,17345.0,150,146,18420,23381,2017,6,8,200920000
425,2017-06-09,금,X,구름 많음,9728,963.0,2356,136,11161,15512,2017,6,9,130470000
426,2017-06-10,토,O,구름 많음,14602,378.0,1564,296,1493,21501,2017,6,10,165440000
427,2017-06-11,일,O,맑음,15379,331.0,1638,297,152,23498,2017,6,11,173480000
428,2017-06-12,월,X,구름 많음,1675,104.0,90,103,264,3589,2017,6,12,18690000
429,2017-06-13,화,X,눈/비,1347,10.0,47,84,678,3915,2017,6,13,14040000
430,2017-06-14,수,X,맑음,1235,320.0,98,64,1060,4146,2017,6,14,16530000
431,2017-06-15,목,X,맑음,3337,25.0,1348,83,4242,6991,2017,6,15,47100000
432,2017-06-16,금,X,구름 많음,1254,116.0,44,68,676,3307,2017,6,16,14140000
433,2017-06-17,토,O,맑음,6042,183.0,867,149,351,10224,2017,6,17,70920000
434,2017-06-18,일,O,구름 조금,5524,111.0,634,218,185,8647,2017,6,18,62690000
435,2017-06-19,월,X,구름 조금,961,33.0,69,29,96,2163,2017,6,19,10630000
436,2017-06-20,화,X,구름 많음,838,19.0,82,59,459,2530,2017,6,20,9390000
437,2017-06-21,수,X,구름 조금,799,37.0,82,54,246,2201,2017,6,21,9180000
438,2017-06-22,목,X,구름 조금,898,10705.0,47,85,10925,12935,2017,6,22,116500000
439,2017-06-23,금,X,구름 조금,836,16.0,54,71,275,2122,2017,6,23,9060000
440,2017-06-24,토,O,구름 많음,3640,83.0,492,125,63,6202,2017,6,24,42150000
441,2017-06-25,일,O,흐림,3786,63.0,460,145,56,6163,2017,6,25,43090000
442,2017-06-26,월,X,눈/비,572,6.0,31,24,0,1272,2017,6,26,6090000
443,2017-06-27,화,X,구름 많음,878,10.0,51,51,187,2243,2017,6,27,9390000
444,2017-06-28,수,X,구름 많음,807,16.0,39,70,132,2113,2017,6,28,8620000
445,2017-06-29,목,X,구름 많음,846,14.0,44,61,235,2120,2017,6,29,9040000
446,2017-06-30,금,X,구름 많음,840,26.0,136,72,316,2103,2017,6,30,10020000
447,2017-07-01,토,O,흐림,5112,85.0,531,113,60,7808,2017,7,1,57280000
448,2017-07-02,일,O,눈/비,649,12.0,64,63,0,1443,2017,7,2,7250000
449,2017-07-03,월,X,눈/비,289,4.0,20,15,0,807,2017,7,3,3130000
450,2017-07-04,화,X,구름 많음,559,27.0,305,74,362,1715,2017,7,4,8910000
451,2017-07-05,수,X,구름 많음,495,62.0,43,59,60,1349,2017,7,5,6000000
452,2017-07-06,목,X,구름 많음,425,167.0,19,58,141,1251,2017,7,6,6110000
453,2017-07-07,금,X,눈/비,275,8.0,47,21,30,870,2017,7,7,3300000
454,2017-07-08,토,O,흐림,832,25.0,98,77,30,1700,2017,7,8,9550000
455,2017-07-09,일,O,눈/비,1903,76.0,239,151,0,3440,2017,7,9,22180000
456,2017-07-10,월,X,눈/비,69,2.0,2,12,0,338,2017,7,10,730000
457,2017-07-11,화,X,눈/비,473,46.0,72,51,91,1480,2017,7,11,5910000
458,2017-07-12,수,X,구름 조금,487,315.0,57,44,279,1597,2017,7,12,8590000
459,2017-07-13,목,X,구름 조금,466,27.0,43,57,0,1176,2017,7,13,5360000
460,2017-07-14,금,X,구름 많음,486,117.0,51,74,218,1349,2017,7,14,6540000
461,2017-07-15,토,O,눈/비,857,63.0,87,88,72,1935,2017,7,15,10070000
462,2017-07-16,일,O,흐림,2857,84.0,313,78,0,4589,2017,7,16,32540000
463,2017-07-17,월,X,눈/비,503,21.0,43,11,31,1188,2017,7,17,5670000
464,2017-07-18,화,X,구름 많음,586,50.0,56,68,74,1458,2017,7,18,6920000
465,2017-07-19,수,X,구름 많음,465,21.0,51,42,0,1180,2017,7,19,5370000
466,2017-07-20,목,X,구름 많음,333,30.0,32,81,0,931,2017,7,20,3950000
467,2017-07-21,금,X,구름 많음,370,191.0,34,62,177,1076,2017,7,21,5950000
468,2017-07-22,토,O,흐림,1238,53.0,146,154,33,2501,2017,7,22,14370000
469,2017-07-23,일,O,눈/비,319,12.0,26,20,36,696,2017,7,23,3570000
470,2017-07-24,월,X,눈/비,242,33.0,29,57,0,696,2017,7,24,3040000
471,2017-07-25,화,X,흐림,507,49.0,46,54,44,1318,2017,7,25,6020000
472,2017-07-26,수,X,구름 조금,540,83.0,78,100,0,1267,2017,7,26,7010000
473,2017-07-27,목,X,구름 많음,7696,121.0,2342,93,9074,10889,2017,7,27,101590000
474,2017-07-28,금,X,눈/비,332,11.0,60,47,0,772,2017,7,28,4030000
475,2017-07-29,토,O,흐림,3756,131.0,473,69,111,5834,2017,7,29,43600000
476,2017-07-30,일,O,흐림,3828,185.0,413,286,70,5761,2017,7,30,44260000
477,2017-07-31,월,X,눈/비,996,31.0,382,55,0,1771,2017,7,31,14090000
478,2017-08-01,화,X,구름 많음,2123,118.0,321,177,30,3932,2017,8,1,25620000
479,2017-08-02,수,X,눈/비,1069,92.0,159,57,0,1976,2017,8,2,13200000
480,2017-08-03,목,X,구름 조금,1053,82.0,166,181,0,1923,2017,8,3,13010000
481,2017-08-04,금,X,구름 조금,1298,126.0,214,52,46,2164,2017,8,4,16380000
482,2017-08-05,토,O,구름 많음,1602,83.0,194,135,30,2745,2017,8,5,18790000
483,2017-08-06,일,O,눈/비,1250,87.0,169,105,0,2350,2017,8,6,15060000
484,2017-08-07,월,X,눈/비,565,56.0,104,62,0,1236,2017,8,7,7250000
485,2017-08-08,화,X,구름 많음,659,72.0,136,117,0,1504,2017,8,8,8670000
486,2017-08-09,수,X,구름 많음,721,120.0,150,89,0,1601,2017,8,9,9910000
487,2017-08-10,목,X,눈/비,350,61.0,70,53,31,943,2017,8,10,4810000
488,2017-08-11,금,X,구름 많음,959,74.0,201,41,104,1903,2017,8,11,12340000
489,2017-08-12,토,O,구름 조금,4082,118.0,549,92,39,6396,2017,8,12,47490000
490,2017-08-13,일,O,구름 많음,6680,227.0,884,345,45,10371,2017,8,13,77910000
491,2017-08-14,월,X,흐림,827,47.0,259,105,44,1847,2017,8,14,11330000
492,2017-08-15,화,O,눈/비,329,24.0,56,15,0,831,2017,8,15,4090000
493,2017-08-16,수,X,흐림,1039,33.0,232,46,0,2011,2017,8,16,13040000
494,2017-08-17,목,X,눈/비,814,25.0,172,67,0,1883,2017,8,17,10110000
495,2017-08-18,금,X,눈/비,1390,39.0,272,86,46,2773,2017,8,18,17010000
496,2017-08-19,토,O,흐림,6850,170.0,940,168,69,10675,2017,8,19,79600000
497,2017-08-20,일,O,눈/비,811,27.0,110,51,0,1453,2017,8,20,9480000
498,2017-08-21,월,X,눈/비,540,3111.0,112,52,3152,4392,2017,8,21,37630000
499,2017-08-22,화,X,구름 많음,1196,25.0,213,78,0,2413,2017,8,22,14340000
500,2017-08-23,수,X,눈/비,289,7.0,49,24,0,724,2017,8,23,3450000
501,2017-08-24,목,X,눈/비,134,6.0,22,23,0,572,2017,8,24,1620000
502,2017-08-25,금,X,구름 조금,1169,74.0,108,33,30,2284,2017,8,25,13510000
503,2017-08-26,토,O,구름 조금,9721,179.0,1183,139,75,14474,2017,8,26,110830000
504,2017-08-27,일,O,흐림,11289,231.0,1424,194,34,16798,2017,8,27,129440000
505,2017-08-28,월,X,눈/비,697,9.0,54,36,0,1469,2017,8,28,7600000
506,2017-08-29,화,X,구름 많음,1916,14.0,86,60,96,3436,2017,8,29,20160000
507,2017-08-30,수,X,구름 많음,1603,28.0,46,16,74,2860,2017,8,30,16770000
508,2017-08-31,목,X,맑음,1722,75.0,75,40,198,3217,2017,8,31,18720000
509,2017-09-01,금,X,구름 조금,1794,178.0,167,43,137,3429,2017,9,1,21390000
510,2017-09-02,토,O,맑음,15241,238.0,1896,127,34,23313,2017,9,2,173750000
511,2017-09-03,일,O,구름 조금,15418,260.0,1873,180,60,23991,2017,9,3,175510000
512,2017-09-04,월,X,구름 조금,1641,22.0,77,127,35,2911,2017,9,4,17400000
513,2017-09-05,화,X,흐림,884,20.0,104,70,189,2184,2017,9,5,10080000
514,2017-09-06,수,X,흐림,369,490.0,18,14,535,1803,2017,9,6,8770000
515,2017-09-07,목,X,구름 많음,1946,14.0,557,53,640,4453,2017,9,7,25170000
516,2017-09-08,금,X,맑음,1440,930.0,267,13,1521,4176,2017,9,8,26370000
517,2017-09-09,토,O,구름 조금,10366,208.0,1460,126,296,17303,2017,9,9,120340000
518,2017-09-10,일,O,흐림,10648,211.0,1535,211,46,16529,2017,9,10,123940000
519,2017-09-11,월,X,흐림,7259,158.0,2870,27,9598,10956,2017,9,11,102870000
520,2017-09-12,화,X,맑음,1429,470.0,33,43,876,3800,2017,9,12,19320000
521,2017-09-13,수,X,,1652,68.0,47,20,573,3875,2017,9,13,17670000
522,2017-09-14,목,X,맑음,1420,23.0,86,29,322,3009,2017,9,14,15290000
523,2017-09-15,금,X,구름 많음,1923,902.0,147,30,1912,5715,2017,9,15,29720000
524,2017-09-16,토,O,구름 많음,13696,308.0,2126,153,426,20881,2017,9,16,161300000
525,2017-09-17,일,O,구름 조금,14355,189.0,1909,221,36,21699,2017,9,17,164530000
526,2017-09-18,월,X,구름 조금,1999,24.0,306,17,420,4196,2017,9,18,23290000
527,2017-09-19,화,X,눈/비,579,3.0,174,32,593,2313,2017,9,19,7560000
528,2017-09-20,수,X,맑음,1564,2133.0,414,19,2802,6149,2017,9,20,41110000
529,2017-09-21,목,X,맑음,1603,19.0,298,44,1107,4800,2017,9,21,19200000
530,2017-09-22,금,X,구름 조금,1815,1175.0,334,53,3438,7283,2017,9,22,33240000
531,2017-09-23,토,O,구름 조금,9117,209.0,2043,92,4272,17515,2017,9,23,113690000
532,2017-09-24,일,O,구름 조금,8989,215.0,1359,127,725,14520,2017,9,24,105630000
533,2017-09-25,월,X,구름 조금,1223,18.0,189,13,162,2522,2017,9,25,14300000
534,2017-09-26,화,X,구름 많음,1029,83.0,401,32,992,3580,2017,9,26,15130000
535,2017-09-27,수,X,,553,172.0,590,14,976,2494,2017,9,27,13150000
536,2017-09-28,목,X,,1332,71.0,686,6,1196,4031,2017,9,28,20890000
537,2017-09-29,금,X,,1278,1624.0,1858,57,3501,6538,2017,9,29,47600000
538,2017-09-30,토,O,,8387,316.0,1132,64,103,12712,2017,9,30,98350000
539,2017-10-01,일,O,,3543,144.0,618,107,0,6413,2017,10,1,43050000
540,2017-10-02,월,X,,14218,355.0,1870,186,0,21387,2017,10,2,164430000
541,2017-10-03,화,O,,10949,360.0,1461,438,0,16489,2017,10,3,127700000
542,2017-10-04,수,O,,13288,496.0,1548,1174,0,19220,2017,10,4,153320000
543,2017-10-05,목,O,,21322,680.0,2912,701,0,32576,2017,10,5,249140000
544,2017-10-06,금,O,,12842,389.0,1904,359,0,20948,2017,10,6,151350000
545,2017-10-07,토,O,,19513,663.0,2842,359,0,32091,2017,10,7,230180000
546,2017-10-08,일,O,구름 많음,18372,553.0,2767,218,83,29251,2017,10,8,216920000
547,2017-10-09,월,O,구름 조금,13211,479.0,1829,71,359,21174,2017,10,9,155190000
548,2017-10-10,화,X,흐림,806,8.0,200,13,203,2304,2017,10,10,10140000
549,2017-10-11,수,X,구름 많음,305,573.0,421,19,1147,2107,2017,10,11,12990000
550,2017-10-12,목,X,흐림,734,637.0,614,111,1882,3902,2017,10,12,19850000
551,2017-10-13,금,X,맑음,1401,1243.0,400,40,2619,6403,2017,10,13,30440000
552,2017-10-14,토,O,구름 조금,10745,358.0,1625,129,1633,16985,2017,10,14,127280000
553,2017-10-15,일,O,구름 조금,12955,298.0,1756,43,213,19657,2017,10,15,150090000
554,2017-10-16,월,X,구름 많음,4199,14.0,593,48,3917,6706,2017,10,16,48060000
555,2017-10-17,화,X,구름 조금,2399,463.0,1560,47,9928,14032,2017,10,17,104510000
556,2017-10-18,수,X,흐림,1317,353.0,772,47,1556,5007,2017,10,18,24420000
557,2017-10-19,목,X,구름 조금,1959,448.0,464,48,1926,5915,2017,10,19,28710000
558,2017-10-20,금,X,맑음,3082,2531.0,417,46,5156,10375,2017,10,20,60300000
559,2017-10-21,토,O,맑음,14199,335.0,2062,176,1792,22658,2017,10,21,165960000
560,2017-10-22,일,O,구름 많음,17176,663.0,3131,129,3709,25073,2017,10,22,209700000
561,2017-10-23,월,X,구름 조금,2042,53.0,278,17,954,4545,2017,10,23,23730000
562,2017-10-24,화,X,구름 조금,11388,3413.0,2017,36,15364,19454,2017,10,24,168180000
563,2017-10-25,수,X,맑음,1745,164.0,451,70,898,4625,2017,10,25,23600000
564,2017-10-26,목,X,구름 많음,1624,525.0,438,37,1388,5123,2017,10,26,25870000
565,2017-10-27,금,X,맑음,2734,1901.0,504,76,3594,8431,2017,10,27,51390000
566,2017-10-28,토,O,맑음,16172,658.0,2588,158,5114,26879,2017,10,28,194180000
567,2017-10-29,일,O,맑음,12844,440.0,1766,208,285,19514,2017,10,29,150500000
568,2017-10-30,월,X,맑음,1210,592.0,184,43,686,3338,2017,10,30,19860000
569,2017-10-31,화,X,구름 조금,1332,117.0,2624,57,2724,5768,2017,10,31,40730000
570,2017-11-01,수,X,구름 많음,1546,100.0,136,61,298,3363,2017,11,1,17820000
571,2017-11-02,목,X,눈/비,1046,85.0,39,68,294,2669,2017,11,2,11700000
572,2017-11-03,금,X,구름 조금,1776,252.0,262,52,1009,3156,2017,11,3,22900000
573,2017-11-04,토,O,맑음,7476,226.0,963,91,216,12087,2017,11,4,86650000
574,2017-11-05,일,O,구름 많음,8543,220.0,1263,104,69,12762,2017,11,5,100260000
575,2017-11-06,월,X,구름 많음,1504,13.0,63,44,68,3340,2017,11,6,15800000
576,2017-11-07,화,X,구름 많음,1319,397.0,141,53,846,3494,2017,11,7,18570000
577,2017-11-08,수,X,맑음,1010,245.0,17,50,424,2653,2017,11,8,12720000
578,2017-11-09,목,X,맑음,1274,10.0,144,29,301,3089,2017,11,9,14280000
579,2017-11-10,금,X,눈/비,941,88.0,77,36,695,2353,2017,11,10,11060000
580,2017-11-11,토,O,맑음,5225,191.0,675,68,1026,8008,2017,11,11,60910000
581,2017-11-12,일,O,구름 조금,6232,175.0,721,32,520,9312,2017,11,12,71280000
582,2017-11-13,월,X,흐림,561,13.0,32,7,35,1611,2017,11,13,6060000
583,2017-11-14,화,X,구름 조금,758,1.0,94,25,256,2003,2017,11,14,8530000
584,2017-11-15,수,X,구름 조금,437,32.0,16,27,169,1404,2017,11,15,4850000
585,2017-11-16,목,X,구름 조금,372,72.0,32,30,0,1245,2017,11,16,4760000
586,2017-11-17,금,X,눈/비,271,409.0,12,29,471,1388,2017,11,17,6920000
587,2017-11-18,토,O,맑음,1374,85.0,178,57,352,2759,2017,11,18,16370000
588,2017-11-19,일,O,맑음,950,51.0,81,59,30,1918,2017,11,19,10820000
589,2017-11-20,월,X,구름 많음,232,20.0,8,26,0,857,2017,11,20,2600000
590,2017-11-21,화,X,맑음,238,407.0,64,14,430,1581,2017,11,21,7090000
591,2017-11-22,수,X,맑음,315,42.0,98,30,165,1041,2017,11,22,4550000
592,2017-11-23,목,X,흐림,806,31.0,478,24,1101,1927,2017,11,23,13150000
593,2017-11-24,금,X,구름 많음,175,21.0,7,13,0,747,2017,11,24,2030000
594,2017-11-25,토,O,눈/비,428,9.0,31,12,157,1384,2017,11,25,4680000
595,2017-11-26,일,O,구름 조금,1368,56.0,176,56,0,2487,2017,11,26,16000000
596,2017-11-27,월,X,,313,12.0,17,2,46,1072,2017,11,27,3420000
597,2017-11-28,화,X,,267,14.0,21,48,0,1139,2017,11,28,3020000
598,2017-11-29,수,X,,163,18.0,10,18,0,795,2017,11,29,1910000
599,2017-11-30,목,X,맑음,158,10472.0,8,20,42,11318,2017,11,30,106380000
600,2017-12-01,금,X,구름 많음,170,33.0,10,21,0,718,2017,12,1,2130000
601,2017-12-02,토,O,구름 많음,1010,45.0,78,18,0,2168,2017,12,2,11330000
602,2017-12-03,일,O,흐림,986,33.0,101,21,0,1991,2017,12,3,11200000
603,2017-12-04,월,X,구름 조금,136,17.0,8,11,0,719,2017,12,4,1610000
604,2017-12-05,화,X,흐림,164,1.0,4,5,71,630,2017,12,5,1690000
605,2017-12-06,수,X,흐림,97,10.0,2,15,0,721,2017,12,6,1090000
606,2017-12-07,목,X,구름 조금,144,50.0,5,13,33,911,2017,12,7,1990000
607,2017-12-08,금,X,맑음,128,17.0,4,15,0,643,2017,12,8,1490000
608,2017-12-09,토,O,구름 많음,678,30.0,68,20,32,1792,2017,12,9,7760000
609,2017-12-10,일,O,눈/비,356,24.0,39,12,0,1024,2017,12,10,4190000
610,2017-12-11,월,X,,56,2.0,13,12,0,479,2017,12,11,710000
611,2017-12-12,화,X,맑음,45,37.0,3,4,33,324,2017,12,12,850000
612,2017-12-13,수,X,맑음,75,11.0,0,20,0,462,2017,12,13,860000
613,2017-12-14,목,X,구름 많음,59,15.0,245,9,241,761,2017,12,14,3190000
614,2017-12-15,금,X,흐림,99,35.0,11,12,0,627,2017,12,15,1450000
615,2017-12-16,토,O,구름 조금,306,20.0,45,11,0,1206,2017,12,16,3710000
616,2017-12-17,일,O,구름 조금,379,20.0,43,28,38,996,2017,12,17,4420000
617,2017-12-18,월,X,구름 많음,89,13.0,1,2,0,420,2017,12,18,1030000
618,2017-12-19,화,X,,61,102.0,2,22,90,657,2017,12,19,1650000
619,2017-12-20,수,O,눈/비,202,2035.0,272,1,2454,2985,2017,12,20,25090000
620,2017-12-21,목,X,맑음,103,18.0,11,12,0,653,2017,12,21,1320000
